yield_id,farmer_id,crop_id,harvest_year,total_yield_tons
Y0698,F0428,C0698,2026,6.3
Y0699,F0429,C0699,2025,7.2
Y0700,F0430,C0700,2027,101.4
Y0701,F0431,C0701,2025,0.7
Y0702,F0432,C0702,2025,62.7
Y0703,F0432,C0703,2027,9.9
Y0704,F0432,C0704,2026,57.0
Y0705,F0433,C0705,2025,5.5
Y0706,F0434,C0706,2027,24.1
Y0707,F0435,C0707,2027,201.4
Y0708,F0435,C0708,2026,43.4
Y0709,F0436,C0709,2026,51.4
Y0710,F0436,C0710,2026,6.7
Y0711,F0437,C0711,2026,376.7
Y0712,F0438,C0712,2026,9.2
Y0713,F0439,C0713,2027,87.3
Y0714,F0439,C0714,2026,42.7
Y0715,F0440,C0715,2026,14.6
Y0716,F0441,C0716,2025,2.8
Y0717,F0442,C0717,2025,5.0
Y0718,F0442,C0718,2024,70.9
Y0719,F0443,C0719,2027,22.7
Y0720,F0443,C0720,2026,13.0
Y0721,F0443,C0721,2027,128.2
Y0722,F0444,C0722,2026,0.5
Y0723,F0444,C0723,2026,2.1
Y0724,F0444,C0724,2026,0.5
Y0725,F0445,C0725,2025,34.8
Y0726,F0445,C0726,2025,4.3
Y0727,F0446,C0727,2026,20.6
Y0728,F0447,C0728,2024,50.7
Y0729,F0448,C0729,2026,4.2
Y0730,F0449,C0730,2025,46.8
Y0731,F0450,C0731,2026,95.0
Y0732,F0450,C0732,2027,7.3
Y0733,F0450,C0733,2025,240.0
Y0734,F0451,C0734,2027,58.6
Y0735,F0451,C0735,2025,40.0
Y0736,F0451,C0736,2024,3.5
Y0737,F0452,C0737,2025,26.7
Y0738,F0453,C0738,2025,49.1
Y0739,F0454,C0739,2027,295.1
Y0740,F0454,C0740,2026,14.2
Y0741,F0455,C0741,2026,2.4
Y0742,F0455,C0742,2025,1.3
Y0743,F0455,C0743,2025,4.4
Y0744,F0456,C0744,2027,9.1
Y0745,F0457,C0745,2026,201.1
Y0746,F0458,C0746,2026,36.1
Y0747,F0458,C0747,2025,7.7
Y0748,F0459,C0748,2025,5.8
Y0749,F0459,C0749,2027,98.0
Y0750,F0460,C0750,2027,18.1
Y0751,F0461,C0751,2026,13.2
Y0752,F0462,C0752,2027,7.1
Y0753,F0462,C0753,2026,72.8
Y0754,F0463,C0754,2026,14.4
Y0755,F0464,C0755,2025,1.5
Y0756,F0464,C0756,2025,1.6
Y0757,F0465,C0757,2027,21.2
Y0758,F0465,C0758,2027,15.2
Y0759,F0466,C0759,2025,7.7
Y0760,F0466,C0760,2027,52.6
Y0761,F0467,C0761,2027,68.9
Y0762,F0468,C0762,2026,72.3
Y0763,F0469,C0763,2025,8.0
Y0764,F0470,C0764,2026,55.9
Y0765,F0471,C0765,2026,2.7
Y0766,F0471,C0766,2025,40.9
Y0767,F0471,C0767,2027,185.1
Y0768,F0472,C0768,2027,43.4
Y0769,F0472,C0769,2026,1.6
Y0770,F0473,C0770,2025,207.3
Y0771,F0473,C0771,2025,5.6
Y0772,F0474,C0772,2027,631.2
Y0773,F0475,C0773,2025,2.6
Y0774,F0476,C0774,2025,2.5
Y0775,F0476,C0775,2026,66.0
Y0776,F0477,C0776,2027,8.5
Y0777,F0478,C0777,2027,2.6
Y0778,F0479,C0778,2027,30.2
Y0779,F0479,C0779,2024,115.1
Y0780,F0479,C0780,2026,6.2
Y0781,F0480,C0781,2026,20.2
Y0782,F0480,C0782,2027,232.4
Y0783,F0481,C0783,2026,10.7
Y0784,F0481,C0784,2026,226.6
Y0785,F0481,C0785,2026,22.7
Y0786,F0482,C0786,2026,3.1
Y0787,F0483,C0787,2025,14.1
Y0788,F0483,C0788,2027,51.2
Y0789,F0484,C0789,2025,27.2
Y0790,F0484,C0790,2024,1.4
Y0791,F0485,C0791,2026,2.1
Y0792,F0486,C0792,2024,9.4
Y0793,F0486,C0793,2025,46.9
Y0794,F0487,C0794,2026,15.6
Y0795,F0488,C0795,2025,53.0
Y0796,F0489,C0796,2025,8.9
Y0797,F0489,C0797,2027,4.6
Y0798,F0489,C0798,2025,1.6
Y0799,F0490,C0799,2026,114.5
Y0800,F0491,C0800,2026,29.8
Y0801,F0491,C0801,2026,7.3
Y0802,F0492,C0802,2026,6.7
Y0803,F0492,C0803,2025,7.0
Y0804,F0492,C0804,2025,25.0
Y0805,F0493,C0805,2026,27.2
Y0806,F0494,C0806,2025,2.1
Y0807,F0494,C0807,2027,15.4
Y0808,F0495,C0808,2025,2.8
Y0809,F0496,C0809,2026,9.8
Y0810,F0496,C0810,2026,0.8
Y0811,F0497,C0811,2025,57.9
Y0812,F0497,C0812,2026,3.4
Y0813,F0497,C0813,2025,66.7
Y0814,F0498,C0814,2027,30.5
Y0815,F0499,C0815,2026,42.8
Y0816,F0500,C0816,2025,110.9
Y0817,F0501,C0817,2025,1.2
Y0818,F0502,C0818,2025,8.8
Y0819,F0502,C0819,2027,9.8
Y0820,F0503,C0820,2027,689.8
Y0821,F0503,C0821,2025,123.4
Y0822,F0503,C0822,2026,163.1
Y0823,F0504,C0823,2025,25.6
Y0824,F0504,C0824,2026,102.7
Y0825,F0505,C0825,2024,5.2
Y0826,F0506,C0826,2025,9.2
Y0827,F0506,C0827,2026,10.2
Y0828,F0507,C0828,2025,76.0
Y0829,F0508,C0829,2027,6.4
Y0830,F0509,C0830,2027,7.5
Y0831,F0509,C0831,2026,6.0
Y0832,F0510,C0832,2026,37.0
Y0833,F0511,C0833,2024,3.2
Y0834,F0512,C0834,2027,203.1
Y0835,F0512,C0835,2025,10.5
Y0836,F0513,C0836,2024,9.7
Y0837,F0514,C0837,2026,126.3
Y0838,F0514,C0838,2025,57.0
Y0839,F0514,C0839,2025,229.0
Y0840,F0515,C0840,2024,4.9
Y0841,F0516,C0841,2026,1.2
Y0842,F0517,C0842,2025,7.5
Y0843,F0517,C0843,2027,30.9
Y0844,F0517,C0844,2025,10.9
Y0845,F0518,C0845,2025,2.4
Y0846,F0518,C0846,2024,3.2
Y0847,F0519,C0847,2026,56.7
Y0848,F0519,C0848,2024,4.4
Y0849,F0520,C0849,2025,8.7
Y0850,F0520,C0850,2025,166.6
Y0851,F0520,C0851,2027,78.7
Y0852,F0521,C0852,2027,84.6
Y0853,F0521,C0853,2026,51.4
Y0854,F0522,C0854,2027,61.8
Y0855,F0523,C0855,2027,554.0
Y0856,F0524,C0856,2024,52.0
Y0857,F0525,C0857,2026,100.3
Y0858,F0525,C0858,2025,53.6
Y0859,F0525,C0859,2024,22.3
Y0860,F0526,C0860,2025,64.8
Y0861,F0526,C0861,2027,167.7
Y0862,F0527,C0862,2027,11.5
Y0863,F0528,C0863,2026,1.6
Y0864,F0529,C0864,2027,7.2
Y0865,F0530,C0865,2025,8.1
Y0866,F0531,C0866,2025,5.0
Y0867,F0532,C0867,2027,18.3
Y0868,F0532,C0868,2026,12.1
Y0869,F0532,C0869,2025,214.4
Y0870,F0533,C0870,2026,2.0
Y0871,F0534,C0871,2026,4.0
Y0872,F0534,C0872,2027,66.7
Y0873,F0535,C0873,2026,194.9
Y0874,F0536,C0874,2026,106.5
Y0875,F0536,C0875,2026,101.8
Y0876,F0536,C0876,2025,36.9
Y0877,F0537,C0877,2025,337.1
Y0878,F0537,C0878,2026,3.2
Y0879,F0538,C0879,2026,6.7
Y0880,F0539,C0880,2025,3.2
Y0881,F0539,C0881,2026,99.7
Y0882,F0539,C0882,2025,31.7
Y0883,F0540,C0883,2027,255.7
Y0884,F0540,C0884,2024,1.4
Y0885,F0540,C0885,2024,118.6
Y0886,F0541,C0886,2025,9.2
Y0887,F0542,C0887,2027,375.7
Y0888,F0543,C0888,2027,32.6
Y0889,F0544,C0889,2026,230.4
Y0890,F0544,C0890,2027,15.7
Y0891,F0545,C0891,2024,8.0
Y0892,F0546,C0892,2026,117.8
Y0893,F0546,C0893,2024,10.7
Y0894,F0547,C0894,2027,17.7
Y0895,F0547,C0895,2026,68.6
Y0896,F0548,C0896,2025,36.4
Y0897,F0548,C0897,2025,0.5
Y0898,F0549,C0898,2026,81.9
Y0899,F0549,C0899,2025,49.2
Y0900,F0549,C0900,2024,7.4
Y0901,F0550,C0901,2025,3.5
Y0902,F0550,C0902,2025,8.2
Y0903,F0551,C0903,2025,10.4
Y0904,F0551,C0904,2026,1.6
Y0905,F0552,C0905,2026,58.2
Y0906,F0552,C0906,2027,140.0
Y0907,F0553,C0907,2025,18.6
Y0908,F0554,C0908,2026,44.8
Y0909,F0555,C0909,2024,74.7
Y0910,F0555,C0910,2027,64.7
Y0911,F0556,C0911,2027,15.2
Y0912,F0556,C0912,2024,228.0
Y0913,F0557,C0913,2026,7.2
Y0914,F0557,C0914,2024,5.8
Y0915,F0558,C0915,2027,180.2
Y0916,F0559,C0916,2026,7.2
Y0917,F0559,C0917,2026,127.5
Y0918,F0560,C0918,2024,9.3
Y0919,F0561,C0919,2026,11.5
Y0920,F0562,C0920,2026,6.6
Y0921,F0563,C0921,2025,3.6
Y0922,F0564,C0922,2026,4.8
Y0923,F0564,C0923,2025,131.8
Y0924,F0564,C0924,2024,5.6
Y0925,F0565,C0925,2026,12.3
Y0926,F0565,C0926,2024,8.8
Y0927,F0565,C0927,2027,144.2
Y0928,F0566,C0928,2026,1.3
Y0929,F0566,C0929,2026,22.8
Y0930,F0567,C0930,2024,196.7
Y0931,F0567,C0931,2025,91.8
Y0932,F0568,C0932,2025,99.5
Y0933,F0569,C0933,2025,69.1
Y0934,F0570,C0934,2026,167.0
Y0935,F0570,C0935,2026,72.5
Y0936,F0571,C0936,2026,9.3
Y0937,F0572,C0937,2025,269.4
Y0938,F0573,C0938,2024,5.1
Y0939,F0573,C0939,2024,3.4
Y0940,F0573,C0940,2026,42.4
Y0941,F0574,C0941,2025,10.8
Y0942,F0575,C0942,2027,29.1
Y0943,F0575,C0943,2026,130.0
Y0944,F0576,C0944,2025,2.3
Y0945,F0577,C0945,2026,14.5
Y0946,F0578,C0946,2026,172.3
Y0947,F0579,C0947,2026,25.8
Y0948,F0579,C0948,2026,1.4
Y0949,F0580,C0949,2025,1.4
Y0950,F0580,C0950,2026,38.0
Y0951,F0580,C0951,2027,96.3
Y0952,F0581,C0952,2025,189.0
Y0953,F0582,C0953,2027,244.4
Y0954,F0583,C0954,2025,0.2
Y0955,F0584,C0955,2026,9.0
Y0956,F0584,C0956,2025,92.4
Y0957,F0584,C0957,2027,390.1
Y0958,F0585,C0958,2026,419.1
Y0959,F0586,C0959,2024,5.8
Y0960,F0587,C0960,2027,1.1
Y0961,F0588,C0961,2026,11.9
Y0962,F0589,C0962,2025,50.3
Y0963,F0589,C0963,2025,6.6
Y0964,F0589,C0964,2026,8.9
Y0965,F0590,C0965,2025,16.1
Y0966,F0591,C0966,2026,12.6
Y0967,F0591,C0967,2024,295.2
Y0968,F0591,C0968,2024,9.8
Y0969,F0592,C0969,2025,11.2
Y0970,F0593,C0970,2025,91.8
Y0971,F0594,C0971,2025,29.1
Y0972,F0594,C0972,2025,16.2
Y0973,F0594,C0973,2025,115.6
Y0974,F0595,C0974,2025,1.5
Y0975,F0595,C0975,2024,0.6
Y0976,F0595,C0976,2026,1.0
Y0977,F0596,C0977,2027,210.4
Y0978,F0596,C0978,2027,12.3
Y0979,F0597,C0979,2024,5.2
Y0980,F0598,C0980,2024,149.6
Y0981,F0599,C0981,2024,12.8
Y0982,F0600,C0982,2024,223.2
Y0983,F0601,C0983,2024,2.3
Y0984,F0601,C0984,2027,253.0
Y0985,F0602,C0985,2027,74.6
Y0986,F0602,C0986,2025,357.3
Y0987,F0603,C0987,2026,4.0
Y0988,F0603,C0988,2026,52.4
Y0989,F0604,C0989,2026,1.3
Y0990,F0604,C0990,2024,26.4
Y0991,F0604,C0991,2025,3.8
Y0992,F0605,C0992,2025,6.1
Y0993,F0606,C0993,2024,1.4
Y0994,F0606,C0994,2025,88.8
Y0995,F0606,C0995,2024,1.6
Y0996,F0607,C0996,2027,76.3
Y0997,F0608,C0997,2025,17.8
Y0998,F0609,C0998,2025,65.9
Y0999,F0609,C0999,2027,209.2
Y1000,F0609,C1000,2026,116.2
Y1001,F0610,C1001,2026,1.3
Y1002,F0610,C1002,2025,2.0
Y1003,F0611,C1003,2025,2.8
Y1004,F0612,C1004,2024,98.3
Y1005,F0613,C1005,2027,10.0
Y1006,F0614,C1006,2026,5.0
Y1007,F0614,C1007,2026,11.9
Y1008,F0615,C1008,2025,111.8
Y1009,F0615,C1009,2025,7.2
Y1010,F0616,C1010,2027,126.1
Y1011,F0616,C1011,2026,572.7
Y1012,F0617,C1012,2026,7.7
Y1013,F0618,C1013,2025,16.8
Y1014,F0619,C1014,2025,3.2
Y1015,F0619,C1015,2027,85.6
Y1016,F0619,C1016,2026,244.8
Y1017,F0620,C1017,2025,14.4
Y1018,F0620,C1018,2024,57.8
Y1019,F0621,C1019,2024,7.4
Y1020,F0622,C1020,2025,185.6
Y1021,F0623,C1021,2026,2.2
Y1022,F0624,C1022,2026,13.7
Y1023,F0625,C1023,2024,5.7
Y1024,F0625,C1024,2025,4.4
Y1025,F0626,C1025,2026,17.9
Y1026,F0627,C1026,2025,5.8
Y1027,F0627,C1027,2024,3.2
Y1028,F0627,C1028,2025,11.7
Y1029,F0628,C1029,2025,2.5
Y1030,F0628,C1030,2025,3.0
Y1031,F0629,C1031,2026,80.7
Y1032,F0629,C1032,2026,79.2
Y1033,F0630,C1033,2025,2.7
Y1034,F0630,C1034,2025,6.7
Y1035,F0631,C1035,2025,6.7
Y1036,F0632,C1036,2027,88.8
Y1037,F0632,C1037,2026,36.2
Y1038,F0633,C1038,2027,563.2
Y1039,F0633,C1039,2026,15.4
Y1040,F0633,C1040,2026,8.6
Y1041,F0634,C1041,2024,7.8
Y1042,F0635,C1042,2025,2.3
Y1043,F0636,C1043,2026,232.4
Y1044,F0637,C1044,2027,94.6
Y1045,F0638,C1045,2024,33.2
Y1046,F0638,C1046,2025,111.5
Y1047,F0639,C1047,2026,73.7
Y1048,F0640,C1048,2026,9.1
Y1049,F0641,C1049,2026,68.2
Y1050,F0641,C1050,2025,147.1
Y1051,F0642,C1051,2026,3.3
Y1052,F0642,C1052,2024,3.1
Y1053,F0643,C1053,2024,1.2
Y1054,F0643,C1054,2025,61.5
Y1055,F0643,C1055,2026,7.5
Y1056,F0644,C1056,2026,152.3
Y1057,F0644,C1057,2024,102.1
Y1058,F0645,C1058,2026,14.6
Y1059,F0645,C1059,2025,5.1
Y1060,F0646,C1060,2024,3.5
Y1061,F0646,C1061,2025,34.3
Y1062,F0647,C1062,2025,142.1
Y1063,F0648,C1063,2024,14.3
Y1064,F0649,C1064,2026,17.6
Y1065,F0649,C1065,2027,2.5
Y1066,F0650,C1066,2027,7.6
Y1067,F0651,C1067,2027,98.7
Y1068,F0651,C1068,2026,9.5
Y1069,F0652,C1069,2026,28.6
Y1070,F0652,C1070,2025,98.8
Y1071,F0652,C1071,2025,7.5
Y1072,F0653,C1072,2026,8.7
Y1073,F0653,C1073,2026,70.6
Y1074,F0654,C1074,2025,8.8
Y1075,F0654,C1075,2026,26.6
Y1076,F0655,C1076,2026,40.4
Y1077,F0656,C1077,2025,6.9
Y1078,F0657,C1078,2026,3.8
Y1079,F0658,C1079,2026,5.7
Y1080,F0659,C1080,2025,119.8
Y1081,F0660,C1081,2026,176.9
Y1082,F0660,C1082,2026,87.8
Y1083,F0661,C1083,2025,23.4
Y1084,F0662,C1084,2026,74.0
Y1085,F0662,C1085,2025,181.3
Y1086,F0662,C1086,2024,8.5
Y1087,F0663,C1087,2026,435.8
Y1088,F0663,C1088,2026,76.1
Y1089,F0664,C1089,2024,2.9
Y1090,F0664,C1090,2027,5.6
Y1091,F0665,C1091,2024,6.6
Y1092,F0666,C1092,2025,97.8
Y1093,F0666,C1093,2025,10.8
Y1094,F0667,C1094,2025,74.7
Y1095,F0668,C1095,2026,95.4
Y1096,F0669,C1096,2026,54.8
Y1097,F0669,C1097,2027,8.4
Y1098,F0669,C1098,2026,3.9
Y1099,F0670,C1099,2026,14.6
Y1100,F0671,C1100,2024,69.0
Y1101,F0671,C1101,2026,8.5
Y1102,F0672,C1102,2024,5.8
Y1103,F0672,C1103,2025,83.9
Y1104,F0672,C1104,2027,31.4
Y1105,F0673,C1105,2026,57.0
Y1106,F0673,C1106,2026,8.1
Y1107,F0674,C1107,2027,288.7
Y1108,F0674,C1108,2027,46.2
Y1109,F0675,C1109,2025,198.7
Y1110,F0675,C1110,2025,14.4
Y1111,F0676,C1111,2025,139.0
Y1112,F0677,C1112,2026,7.4
Y1113,F0678,C1113,2024,23.6
Y1114,F0678,C1114,2025,10.4
Y1115,F0678,C1115,2026,178.9
Y1116,F0679,C1116,2027,163.7
Y1117,F0680,C1117,2025,4.2
Y1118,F0680,C1118,2024,2.8
Y1119,F0680,C1119,2024,4.7
Y1120,F0681,C1120,2025,66.2
Y1121,F0681,C1121,2025,335.9
Y1122,F0682,C1122,2024,2.9
Y1123,F0682,C1123,2026,178.4
Y1124,F0683,C1124,2026,15.1
Y1125,F0683,C1125,2027,30.9
Y1126,F0684,C1126,2024,8.2
Y1127,F0685,C1127,2025,77.2
Y1128,F0686,C1128,2026,47.5
Y1129,F0686,C1129,2025,3.4
Y1130,F0686,C1130,2026,58.4
Y1131,F0687,C1131,2026,16.1
Y1132,F0687,C1132,2026,12.1
Y1133,F0687,C1133,2025,165.0
Y1134,F0688,C1134,2024,15.6
Y1135,F0689,C1135,2024,3.0
Y1136,F0690,C1136,2025,5.0
Y1137,F0691,C1137,2027,4.6
Y1138,F0692,C1138,2025,4.7
Y1139,F0693,C1139,2026,13.9
Y1140,F0694,C1140,2026,106.3
Y1141,F0695,C1141,2026,114.7
Y1142,F0696,C1142,2025,80.7
Y1143,F0696,C1143,2026,12.1
Y1144,F0697,C1144,2026,4.7
Y1145,F0697,C1145,2024,12.8
Y1146,F0697,C1146,2026,29.8
Y1147,F0698,C1147,2026,6.6
Y1148,F0699,C1148,2024,7.3
Y1149,F0700,C1149,2025,72.7
Y1150,F0700,C1150,2026,48.9
Y1151,F0701,C1151,2026,2.7
Y1152,F0702,C1152,2027,71.5
Y1153,F0703,C1153,2024,3.1
Y1154,F0703,C1154,2024,6.7
Y1155,F0703,C1155,2026,3.7
Y1156,F0704,C1156,2024,1.1
Y1157,F0704,C1157,2026,0.5
Y1158,F0705,C1158,2025,8.2
Y1159,F0705,C1159,2026,11.0
Y1160,F0706,C1160,2025,2.2
Y1161,F0707,C1161,2026,2.2
Y1162,F0707,C1162,2027,63.0
Y1163,F0707,C1163,2026,1.0
Y1164,F0708,C1164,2026,15.5
Y1165,F0709,C1165,2025,11.2
Y1166,F0710,C1166,2025,35.0
Y1167,F0711,C1167,2026,6.6
Y1168,F0712,C1168,2027,4.1
Y1169,F0713,C1169,2025,13.7
Y1170,F0714,C1170,2026,11.1
Y1171,F0715,C1171,2025,287.8
Y1172,F0716,C1172,2024,2.4
Y1173,F0716,C1173,2026,7.1
Y1174,F0717,C1174,2025,133.4
Y1175,F0718,C1175,2026,16.9
Y1176,F0718,C1176,2025,91.8
Y1177,F0719,C1177,2025,41.6
Y1178,F0720,C1178,2027,44.1
Y1179,F0720,C1179,2026,245.7
Y1180,F0720,C1180,2027,85.6
Y1181,F0721,C1181,2026,10.7
Y1182,F0722,C1182,2026,9.7
Y1183,F0722,C1183,2025,10.0
Y1184,F0723,C1184,2026,26.5
Y1185,F0723,C1185,2024,4.9
Y1186,F0724,C1186,2025,2.3
Y1187,F0724,C1187,2027,15.4
Y1188,F0725,C1188,2026,89.6
Y1189,F0726,C1189,2027,9.7
Y1190,F0727,C1190,2025,4.8
Y1191,F0727,C1191,2026,50.7
Y1192,F0728,C1192,2027,12.9
Y1193,F0728,C1193,2027,240.3
Y1194,F0729,C1194,2026,14.3
Y1195,F0730,C1195,2026,94.6
Y1196,F0731,C1196,2025,9.7
Y1197,F0732,C1197,2027,123.6
Y1198,F0733,C1198,2024,7.8
Y1199,F0734,C1199,2026,56.6
Y1200,F0734,C1200,2026,166.6
Y1201,F0734,C1201,2027,16.9
Y1202,F0735,C1202,2026,8.8
Y1203,F0736,C1203,2026,65.6
Y1204,F0737,C1204,2026,100.5
Y1205,F0737,C1205,2025,177.3
Y1206,F0738,C1206,2026,0.5
Y1207,F0738,C1207,2024,1.5
Y1208,F0739,C1208,2026,25.3
Y1209,F0739,C1209,2026,27.9
Y1210,F0740,C1210,2026,8.1
Y1211,F0741,C1211,2025,102.6
Y1212,F0742,C1212,2026,532.9
Y1213,F0743,C1213,2026,7.5
Y1214,F0744,C1214,2026,25.2
Y1215,F0745,C1215,2026,6.5
Y1216,F0746,C1216,2026,88.4
Y1217,F0747,C1217,2024,87.5
Y1218,F0748,C1218,2027,204.9
Y1219,F0749,C1219,2026,2.4
Y1220,F0749,C1220,2025,4.4
Y1221,F0750,C1221,2024,18.2
Y1222,F0751,C1222,2027,503.9
Y1223,F0752,C1223,2026,3.3
Y1224,F0752,C1224,2024,84.3
Y1225,F0753,C1225,2026,29.6
Y1226,F0754,C1226,2026,131.8
Y1227,F0754,C1227,2025,14.3
Y1228,F0754,C1228,2026,400.0
Y1229,F0755,C1229,2027,376.8
Y1230,F0756,C1230,2026,62.9
Y1231,F0757,C1231,2026,71.5
Y1232,F0757,C1232,2026,46.2
Y1233,F0758,C1233,2025,314.4
Y1234,F0759,C1234,2025,28.5
Y1235,F0760,C1235,2027,164.9
Y1236,F0761,C1236,2027,257.2
Y1237,F0762,C1237,2027,82.6
Y1238,F0762,C1238,2025,6.1
Y1239,F0763,C1239,2027,281.7
Y1240,F0764,C1240,2025,59.5
Y1241,F0765,C1241,2026,7.1
Y1242,F0765,C1242,2025,89.0
Y1243,F0765,C1243,2026,74.6
Y1244,F0766,C1244,2024,4.7
Y1245,F0766,C1245,2025,11.7
Y1246,F0766,C1246,2025,68.3
Y1247,F0767,C1247,2026,80.7
Y1248,F0768,C1248,2027,140.7
Y1249,F0768,C1249,2024,35.5
Y1250,F0768,C1250,2026,3.6
Y1251,F0769,C1251,2025,90.5
Y1252,F0769,C1252,2025,7.8
Y1253,F0770,C1253,2026,10.6
Y1254,F0770,C1254,2027,10.9
Y1255,F0771,C1255,2025,8.3
Y1256,F0772,C1256,2026,122.2
Y1257,F0773,C1257,2027,12.0
Y1258,F0774,C1258,2025,49.4
Y1259,F0774,C1259,2024,1.4
Y1260,F0775,C1260,2025,0.7
Y1261,F0776,C1261,2024,1.5
Y1262,F0776,C1262,2025,3.4
Y1263,F0777,C1263,2024,5.3
Y1264,F0777,C1264,2026,24.2
Y1265,F0777,C1265,2025,3.5
Y1266,F0778,C1266,2024,7.4
Y1267,F0779,C1267,2026,135.6
Y1268,F0779,C1268,2025,28.2
Y1269,F0779,C1269,2024,9.2
Y1270,F0780,C1270,2024,139.4
Y1271,F0780,C1271,2025,3.0
Y1272,F0781,C1272,2026,6.0
Y1273,F0782,C1273,2026,19.3
Y1274,F0783,C1274,2026,4.2
Y1275,F0783,C1275,2025,26.6
Y1276,F0783,C1276,2025,3.8
Y1277,F0784,C1277,2025,7.4
Y1278,F0784,C1278,2026,21.7
Y1279,F0785,C1279,2024,7.5
Y1280,F0786,C1280,2026,2.7
Y1281,F0787,C1281,2024,162.7
Y1282,F0787,C1282,2025,283.9
Y1283,F0788,C1283,2026,31.7
Y1284,F0788,C1284,2026,51.3
Y1285,F0789,C1285,2027,1.3
Y1286,F0789,C1286,2026,6.1
Y1287,F0790,C1287,2027,79.5
Y1288,F0791,C1288,2026,13.0
Y1289,F0792,C1289,2024,12.1
Y1290,F0792,C1290,2027,2.6
Y1291,F0792,C1291,2027,2.7
Y1292,F0793,C1292,2027,56.8
Y1293,F0794,C1293,2024,3.0
Y1294,F0794,C1294,2026,3.9
Y1295,F0795,C1295,2026,14.8
Y1296,F0795,C1296,2025,54.5
Y1297,F0796,C1297,2026,10.5
Y1298,F0796,C1298,2025,149.8
Y1299,F0797,C1299,2027,276.3
Y1300,F0797,C1300,2025,35.6
Y1301,F0798,C1301,2024,13.0
Y1302,F0798,C1302,2024,7.3
Y1303,F0799,C1303,2026,5.4
Y1304,F0800,C1304,2024,15.4
Y1305,F0800,C1305,2025,14.3
